Brand,Phone_Name,Price,MarketPrice,Discount,Link,ImageLink
Oppo,Oppo A54,"Rs. 56,299","
                Rs. 59,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a54,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Camon 19 Neo,"Rs. 43,999","
                Rs. 44,999            ","
                (2% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-camon-19-neo,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy Z Fold 4,"Rs. 395,999","
                Rs. 539,999            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-fold-4,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Pova Neo 2,"Rs. 40,099","
                Rs. 41,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-pova-neo-2,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme 9 4G,"Rs. 75,199","
                Rs. 75,299            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/realme/realme-9-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Value 100,"Rs. 2,749",,,https://priceoye.pk/mobiles/itel/itel-value-100,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Sparx,Sparx S9,"Rs. 19,599","
                Rs. 20,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/sparx/sparx-s9,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo V25 5G,"Rs. 140,499","
                Rs. 140,999            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-v25,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel Magic 3 Titan,"Rs. 4,599","
                Rs. 5,499            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/itel/itel-magic-3-titan,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 20i,"Rs. 35,749","
                Rs. 43,999            ","
                (19% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-20i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
