Brand,Laptop_Name,Price,MarketPrice,Discount,Link,ImageLink
Lenovo,Lenovo IdeaPad 3 15.6 Inches Core i5 (12GB RAM - 256GB SSD),"Rs. 116,499",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-core-i5-12gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo ThinkBook 15 15.6 Inches Core i7 (8GB RAM - 1TB HDD),"Rs. 142,900",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-15-6-inches,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Yoga 6 AMD Ryzen 7 13.3 Inches (16GB RAM - 01TB SSD),"Rs. 179,999",,,https://priceoye.pk/laptops/lenovo/lenovo-yoga-6-amd-ryzen-7-13-3-inches-16gb-ram-01tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Yoga 9i 14 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 288,999",,,https://priceoye.pk/laptops/lenovo/lenovo-yoga-9i-14-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Legion 5 Pro 16 Inches AMD Ryzen 7 (16GB RAM - 512GB SSD),"Rs. 388,900",,,https://priceoye.pk/laptops/lenovo/lenovo-legion-5-pro-16-inches-amd-ryzen-7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches  Core i3 8GB RAM - 256GB SSD (MWTK2 ),"Rs. 155,000",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-core-i3-8gb-ram-256gb-ssd-mwtk2,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip 8GB RAM - 512GB SSD (MGNE3),"Rs. 228,999",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-512gb-ssd-mgne3,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 13.3 Inches M1 Chip 8GB RAM - 256GB SSD (MYDA2),"Rs. 242,000",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-3-inches-m1-chip-8gb-ram-256gb-ssd-myda2,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 13.3 Inches M1 Chip 8GB RAM - 512GB SSD (MYDC2),"Rs. 271,900",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-3-inches-m1-chip-8gb-ram-512gb-ssd-mydc2,https://static.priceoye.pk/images/product-placeholder.jpg
Infinix,Infinix INBook X1 14 Inches Core i5 (8GB RAM - 512GB SSD),"Rs. 99,999",,,https://priceoye.pk/laptops/infinix/infinix-inbook-x1-14-inches-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS TUF Dash F15-516P 15.6 Inches Core i7 (08GB RAM - 512GB SSD),"Rs. 215,900",,,https://priceoye.pk/laptops/asus/asus-tuf-dash-f15-516p-tiger-lake-11th-gen-core-i7-quadcore-processor-08gb-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS ROG Zephyrus M16 GU603 16 Inches Core i9 (16GB RAM - 1TB SSD),"Rs. 358,900",,,https://priceoye.pk/laptops/asus/asus-rog-zephyrus-m16-gu603-core-i9-octacore-processor-16gb-1-tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
MSI,MSI Sword 15.6 Inches Core i7 (08GB RAM - 512GB SSD),"Rs. 207,999",,,https://priceoye.pk/laptops/msi/msi-sword-15-6-inches-core-i7-08gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3515 15.6 inches AMD Ryzen 7 3700U (8GB-512GB),"Rs. 161,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-3515-15-6-inches-amd-ryzen-7-3700u-8gb-512gb,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11th Gen Core i5 1155G7 NVIDIA GE FORCE MX350 2GB GDDR5 GRAPHICS (8GB RAM - 512GB),"Rs. 210,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-1155g7-nvidia-ge-force-mx350-2gb-gddr5-graphics-8gb-ram-512gb,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Gaming G5 15.6 inches 11 gen Core I7-11800H NVIDIA GeFORCE RTX-3050 Ti with 4GB GDDR6 (16gb - 512gb),"Rs. 330,500",,,https://priceoye.pk/laptops/dell/dell-gaming-g5-15-6-inches-11-gen-core-i7-11800h-nvidia-geforce-rtx-3050-ti-with-4gb-gddr6-16gb-512gb,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Gaming G5 15.6 inches Ryzen 7 5800H NVIDIA GeFORCE RTX-3050 (16gb - 512gb),"Rs. 268,000",,,https://priceoye.pk/laptops/dell/dell-gaming-g5-15-6-inches-ryzen-7-5800h-nvidia-geforce-rtx-3050-16gb-512gb,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3501 15.6 inches Core i3 1115G4 (4GB RAM - 1TB HDD),"Rs. 88,999",,,https://priceoye.pk/laptops/dell/dell-inspiron-3501-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 7400 14 Inches Core i5 (8GB RAM - 256GB SSD),"Rs. 93,000",,,https://priceoye.pk/laptops/dell/dell-latitude-7400-14-inches-core-i5-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3502 15.6 Inches Intel Celeron (4GB RAM - 128 GB SSD),"Rs. 86,199",,,https://priceoye.pk/laptops/dell/dell-inspiron-3502-15-6-inches-intel-celeron-4gb-ram-128-gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 7506 15.6 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 207,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-7506-15-6-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3511 15.6-inches 11th Gen Core i5 Win10 (8GB RAM- 1TB SATA),"Rs. 130,999",,,https://priceoye.pk/laptops/dell/dell-inspiron-3511-15-6-inches-11th-gen-core-i5-win10-8gb-ram-1tb-sata,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 9305 13.3 Inches Core i5 1135G7 (8GB Ram - 256GB SSD),"Rs. 235,000",,,https://priceoye.pk/laptops/dell/dell-xps-9305-13-3-inches-core-i5-1135g7-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 7420 14 Inches Core i7 1165G7 (16GB RAM - 512GB SSD),"Rs. 285,000",,,https://priceoye.pk/laptops/dell/dell-latitude-7420-14-inches-core-i7-1165g7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP ChromeBook 14 G4 Intel Celeron (02GB RAM - 16GB SSD),"Rs. 16,999",,,https://priceoye.pk/laptops/hp/hp-chromebook-14-g4-intel-celeron-02gb-ram-16gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Chromebook x360 11.6 Inches Intel Celeron (4GB RAM - 32GB HDD),"Rs. 44,900",,,https://priceoye.pk/laptops/hp/hp-chromebook-x360-11-6-inches-intel-celeron-4gb-ram-32gb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Pavilion Gaming Laptop 16.1 Inches Core i5 (8GB RAM - 256GBSSD),"Rs. 160,000",,,https://priceoye.pk/laptops/hp/hp-pavilion-gaming-laptop-a0051wm-16-1-inches-core-i5-8gb-ram-256gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Victus Series Gaming Laptop 16.1 Inches Core i5 (8GB RAM - 256GB SSD),"Rs. 196,000",,,https://priceoye.pk/laptops/hp/hp-victus-series-gaming-laptop-16-1-inches-core-i5-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo IdeaPad 3 15.6 Inches Core i3 (04GB RAM - 128GB SSD),"Rs. 84,999",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-core-i3-04gb-ram-128gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo ThinkPad P1 16 Inches Core i9 (32GB RAM - 01TB SSD),"Rs. 574,999",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-p1-16-inches-core-i9-32gb-ram-01tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS ZenBook UX325 13.3 Inches Core i7 (16GB RAM - 1TB SSD),"Rs. 219,999",,,https://priceoye.pk/laptops/asus/asus-tuf-dash-15-fx516pe-gaming-tiger-lake-11th-gen-core-i5-quadcore-08gb-512gb-ssd-4-gb,https://static.priceoye.pk/images/product-placeholder.jpg
Asus,Asus ZenBook Duo UX482 14 Inches Core i7 (16GB RAM - 1TB SSD),"Rs. 329,999",,,https://priceoye.pk/laptops/asus/asus-zenbook-duo-14-ux482-ice-lake-11th-gen-core-i7-16gb-1-tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Acer,Acer Predator Helios 300 15.6 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 276,900",,,https://priceoye.pk/laptops/acer/acer-predator-helios-300-15-6-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
MSI,MSI Stealth 15.6 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 284,000",,,https://priceoye.pk/laptops/msi/msi-stealth-15-6-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11th Gen Core i5 1135G7 NVIDIA GE FORCE MX350 (8GB RAM-512GB SSD),"Rs. 222,504",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-1135g7-nvidia-ge-force-mx350-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 13.4 inches 9310 11 Gen Corei5 1135G7 (8gb - 512gb),"Rs. 360,800",,,https://priceoye.pk/laptops/dell/dell-xps-13-4-inches-9310-11-gen-corei5-1135g7-8gb-512gb,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 16 inches M1 Chip (MK193),"Rs. 671,900",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-16-mk193,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 7405 14 inches AMD Ryzen 5 (8GB RAM - 256GB SSD),"Rs. 122,500",,,https://priceoye.pk/laptops/dell/dell-inspiron-7504,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5406 14 Inches Core i5 (8GB RAM - 512GB SSD),"Rs. 178,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5406-14-inches-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11 Gen Core i7 11370H (8GB RAM -512GB SSD),"Rs. 186,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11-gen-core-i7-11370h-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 9510 15 Inches Core i7 11800H (16GB RAM - 1TB SSD),"Rs. 445,000",,,https://priceoye.pk/laptops/dell/dell-xps-9510-15-inches-core-i7-11800h-16gb-ram-1tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 3520 15.6 Inches Core i3 1115G4 (8GB RAM - 256GB SSD),"Rs. 115,000",,,https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i3-1115g4-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 5520 I5.6 Inches Core i5 1135G7 (8GB RAM - 256GB SSD),"Rs. 172,000",,,https://priceoye.pk/laptops/dell/dell-latitude-5520-i5-6-inches-core-i5-1135g7-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP ChromeBook x360 14 Inches Core i3 (8GB RAM - 64GB SSD),"Rs. 60,000",,,https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-core-i3-8gb-ram-64gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP DW3024NIA 15.6 Inches Core i3 (4GB RAM - 256GB SSD),"Rs. 87,000",,,https://priceoye.pk/laptops/hp/hp-dw3024nia-15-6-inches-core-i3-4gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EF2126WM 15.6 Inches AMD Ryzen 5 (8GB RAM - 256GB SSD),"Rs. 106,999",,,https://priceoye.pk/laptops/hp/hp-ef2126wm-15-6-inches-amd-ryzen-5-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EliteBook Folio x360 13.3 Inches Core i7(16GB RAM - 256GB SSD),"Rs. 162,000",,,https://priceoye.pk/laptops/hp/hp-elitebook-folio-x360-13-3-inches-core-i7-16gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP ZBook Studio G5 15.6 Inches Core i7(8GB RAM - 256GB SSD),"Rs. 162,000",,,https://priceoye.pk/laptops/hp/hp-zbook-studio-g5-mobile-workstation-15-6-inches-core-i7-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Spectre x360 13.3 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 193,000",,,https://priceoye.pk/laptops/hp/hp-spectre-x360-aw0239tu-13-3-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP ZBook 9750H 15.6 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 220,000",,,https://priceoye.pk/laptops/hp/hp-zbook-9750h-15-6-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Pavilion EH1070WM 15.6 Inches AMD Ryzen 7(8GB RAM - 512GB SSD),"Rs. 140,000",,,https://priceoye.pk/laptops/hp/hp-pavilion-eh1070wm-15-6-inches-amd-ryzen-7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Thinkpad E15 15.6 Inches Core i5 (8GB RAM - 512GB HDD),"Rs. 153,000",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-core-i5-8gb-ram-512gb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo IdeaPad Flex 5 AMD Ryzen 7 (16GB RAM - 512GB SSD),"Rs. 178,000",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-flex-5-amd-ryzen-7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Flex 5 14 Inches Core i5 (16GB RAM - 512GB SSD),"Rs. 188,500",,,https://priceoye.pk/laptops/lenovo/lenovo-flex-5-14-inches-core-i5-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo ThinkPad E14 14 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 194,999",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e14-14-inches-core-i7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Thinkpad E15 15.6 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 194,999",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-core-i7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip 8GB RAM - 256GB SSD (MGN93),"Rs. 182,000",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-256gb-ssd-mgn93,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS VivoBook K513 15.6 Inches Core i3 (4GB RAM - 512GB SSD),"Rs. 94,900",,,https://priceoye.pk/laptops/asus/asus-vivo,https://static.priceoye.pk/images/product-placeholder.jpg
Asus,Asus ROG Zephyrus G15 GA503QR 15.6 Inches Ryzen 9 5900HS Octa-Core (16GB RAM - 1TB SSD),"Rs. 399,900",,,https://priceoye.pk/laptops/asus/asus-rog-zephyrus-g15-ga503qr-gaming-laptop-amd-ryzen-9-5900hs-octa-core-processor-16gb-1-tb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS VivoBook K513EP 15.6 Inches 11th Gen Core i5 (8GB RAM - 512GB SSD),"Rs. 172,806",,,https://priceoye.pk/laptops/asus/asus-vivobook-k513ep-15-6-inches-11th-gen-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11th Gen Core i5 1135G7 (8GB RAM-512GB SSD),"Rs. 207,208",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3511 15.6-inches 11th Gen Core i5 Win11(8GB RAM- 1TB SATA),"Rs. 149,396",,,https://priceoye.pk/laptops/dell/dell-inspiron-3511-15-6-inches-11th-gen-core-i5-win11-8gb-ram-1tb-sata,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 15 9510 15.6 inches 11 gen Core i9-11900H  NVIDIA GEFORCE RTX3050 Ti 4GB GDDR6 (32gb-1tb),"Rs. 632,000",,,https://priceoye.pk/laptops/dell/dell-xps-15-9510-15-6-inches-11-gen-core-i7-11900h-nvidia-geforce-rtx3050-ti-4gb-gddr6-32gb-1tb,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 13 inches M1 Chip (MYD82),"Rs. 291,900",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-myd82,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air  13.6 inches M2  Chip (MLXY3),"Rs. 294,990",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-6-inches,https://static.priceoye.pk/images/product-placeholder.jpg
