Brand,Watch_Name,Price,MarketPrice,Discount,Link,ImageLink
Mibro,Mibro X1 Smart Watch,"Rs. 10,249","
                Rs. 10,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-x1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Zero,Zero Buzz Max Smart Watch,"Rs. 7,599","
                Rs. 15,999            ","
                (53% OFF)            ",https://priceoye.pk/smart-watches/zero/zero-buzz-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom JR-FT5 Smart Watch,"Rs. 9,749","
                Rs. 10,499            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-jr-ft5-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
TW18,TW18 Ultra Smart Watch,"Rs. 5,699","
                Rs. 6,299            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/tw18-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
U8,U8 Ultra Smart Watch,"Rs. 5,799","
                Rs. 6,499            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/u8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
OPPO,OPPO Watch (46mm),"Rs. 59,799","
                Rs. 69,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/oppo/oppo-watch-46mm,https://static.priceoye.pk/images/product-placeholder.jpg
Huawei,Huawei Band 7,"Rs. 13,249","
                Rs. 15,999            ","
                (17% OFF)            ",https://priceoye.pk/smart-watches/huawei/huawei-band-7,https://static.priceoye.pk/images/product-placeholder.jpg
G-TiDE,G-TiDE R1 Smart Watch,"Rs. 8,099","
                Rs. 10,000            ","
                (19% OFF)            ",https://priceoye.pk/smart-watches/g-tide/g-tide-r1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Zeblaze,Zeblaze Btalk 2 Calling Watch,"Rs. 7,999","
                Rs. 9,999            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/zeblaze/zeblaze-btalk-2-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
G-Tide,G-Tide S1 Lite Bluetooth Calling Smartwatch,"Rs. 7,999","
                Rs. 9,200            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/g-tide/g-tide-s1-lite-bluetooth-calling-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
MT8,MT8 Ultra Smart Watch,"Rs. 6,599","
                Rs. 7,799            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/assorted/mt8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
H11,H11 Ultra Smart Watch,"Rs. 7,099","
                Rs. 7,999            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/h11-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Haylou,Haylou RS3 Smart Watch,"Rs. 9,999","
                Rs. 13,000            ","
                (23% OFF)            ",https://priceoye.pk/smart-watches/haylou/haylou-rs3,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Fortuner Calling Smart Watch,"Rs. 7,999","
                Rs. 8,800            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Redmi,Redmi Watch 2 Lite,"Rs. 13,299","
                Rs. 14,999            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/xiaomi/redmi-watch-2-lite,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko 46mm Smart Watch (RW11),"Rs. 7,999","
                Rs. 10,000            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-46mm-smart-watch-rw11,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple Watch Series 8 (45mm),"Rs. 119,999","
                Rs. 135,000            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/apple/apple-watch-series-8,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Thunder Calling Watch,"Rs. 7,499","
                Rs. 9,499            ","
                (21% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-thunder,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko C5 Calling Watch (46mm),"Rs. 6,299","
                Rs. 9,500            ","
                (34% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-c5-calling-watch-46mm,https://static.priceoye.pk/images/product-placeholder.jpg
Z55,Z55 Ultra Bluetooth Calling Smart Watch,"Rs. 3,799","
                Rs. 4,199            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/z55-ultra-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
HW8,HW8 Ultra Max Bluetooth Smart Watch,"Rs. 6,499","
                Rs. 7,499            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/assorted/hw8-ultra-max-bluetooth-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
OPPO,OPPO Watch (41mm),"Rs. 36,499","
                Rs. 39,999            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/oppo/oppo-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom Fit-Life Series Smart Watch (JR-FT3),"Rs. 6,899","
                Rs. 7,299            ","
                (5% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-fit-life-series-smart-watch-jr-ft3,https://static.priceoye.pk/images/product-placeholder.jpg
Zeblaze,Zeblaze Voice Calling Smartwatch (Vibe7),"Rs. 9,349","
                Rs. 11,999            ","
                (22% OFF)            ",https://priceoye.pk/smart-watches/zeblaze/zeblaze-calling-smart-watch-vibe7,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro Lite Smart Watch,"Rs. 8,999","
                Rs. 9,999            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-lite-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Samsung,Samsung Galaxy Watch 5 Bluetooth 40mm (R-900),"Rs. 48,399","
                Rs. 54,999            ","
                (12% OFF)            ",https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-bluetooth-40mm-r-900,https://static.priceoye.pk/images/product-placeholder.jpg
MI,MI Band 7 Pro,"Rs. 18,249","
                Rs. 19,999            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/xiaomi/mi-band-7-pro,https://static.priceoye.pk/images/product-placeholder.jpg
G-Tide,G-Tide R1 Goldman Bluetooth Calling Smart Watch,"Rs. 10,999","
                Rs. 11,500            ","
                (4% OFF)            ",https://priceoye.pk/smart-watches/g-tide/g-tide-r1-goldman-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
DT8,DT8 Ultra Bluetooth Calling Watch Series 8 49MM,"Rs. 6,199","
                Rs. 8,000            ","
                (23% OFF)            ",https://priceoye.pk/smart-watches/assorted/dt8-ultra-calling-watch-series-8-49mm,https://static.priceoye.pk/images/product-placeholder.jpg
LOGIN,LOGIN LT-W10 Ultra Smartwatch,"Rs. 5,049","
                Rs. 5,549            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/login/login-lt-w10-ultra-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
Samsung,Samsung Galaxy Watch 5 Pro Bluetooth 45mm (R-920),"Rs. 80,499","
                Rs. 94,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-pro-bluetooth,https://static.priceoye.pk/images/product-placeholder.jpg
Haylou,Haylou RT3 Solar Plus Calling Watch,"Rs. 9,799","
                Rs. 13,000            ","
                (25% OFF)            ",https://priceoye.pk/smart-watches/haylou/haylou-solar-plus-rt3,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko C4 Calling Watch (46mm),"Rs. 6,299","
                Rs. 9,500            ","
                (34% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-c4-calling-watch-46mm,https://static.priceoye.pk/images/product-placeholder.jpg
WK8,WK8 Ultra Smart Watch,"Rs. 6,099","
                Rs. 6,799            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/wk8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple Logo Watch 8 Ultra,"Rs. 6,399","
                Rs. 7,499            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/assorted/apple-logo-watch-8-ultra,https://static.priceoye.pk/images/product-placeholder.jpg
HW13,HW13 Smart Watch,"Rs. 4,299","
                Rs. 5,199            ","
                (17% OFF)            ",https://priceoye.pk/smart-watches/assorted/hw13-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
X8,X8 Ultra Max Bluetooth Calling Watch,"Rs. 6,249","
                Rs. 6,999            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/x8-ultra-max-bluetooth-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
T10,T10 Ultra Bluetooth Calling Watch,"Rs. 3,249","
                Rs. 6,000            ","
                (46% OFF)            ",https://priceoye.pk/smart-watches/assorted/t10-ultra-bluetooth-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
BML,BML BM8 Ultra Smartwatch Series 8 49mm,"Rs. 4,899","
                Rs. 7,500            ","
                (35% OFF)            ",https://priceoye.pk/smart-watches/assorted/bml-bw8-ultra-smartwatch-series-8-49mm,https://static.priceoye.pk/images/product-placeholder.jpg
OPPO,OPPO Band Style,"Rs. 6,999","
                Rs. 9,500            ","
                (26% OFF)            ",https://priceoye.pk/smart-watches/oppo/oppo-band-style,https://static.priceoye.pk/images/product-placeholder.jpg
G-TiDE,G-TiDE R1 Classic Gold Bluetooth Calling Smart Watch,"Rs. 10,999",,,https://priceoye.pk/smart-watches/g-tide/g-tide-r1-classic-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
